name,website,website_status,phone,email,company_number,address,services,type,date_created,source
Stapletons Tyre Services,https://www.stapleton-tyres.co.uk/,Working,,,,,,Wholesaler,,Known Network
TRUCK TYRE FLEET SERVICES LTD,https://crown.com,Working,,,16262244,"1 Thorncliffe View, Leek, England, ST13 6QB",,,2025-02-19,Companies House
TRUCK TYRE LEASING LIMITED,https://kwik-fit.com,Working,015267055475,customercare@kwik-fit.com,03158142,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ","Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",,1996-02-13,Companies House
Truck Tyre Specialists (TTS),https://www.trucktyrespecialists.co.uk/,Working,01934 622626,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Regional,,Known Network
Truck Tyre Wholesalers,https://www.trucktyrewholesaler.co.uk/,Working,0203 904 7448,info@trucktyrewholesaler.co.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Wholesaler,,Known Network
Truck Tyres 2 U,https://www.trucktyres2u.co.uk/,Working,097560975609,info@trucktyres2u.co.uk,,,"Truck Tyres, 24 Hour Service, Fleet Services",Online/Mobile,,Known Network
Truck Tyres Direct,https://www.trucktyresdirect.co.uk/,Working,08000926121,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Online/Mobile,,Known Network
Tructyre ATS,https://www.tructyre.co.uk/,Working,0640153278,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",National Network,,Known Network
Tyre Assist 365,https://www.tyreassist365.com/,Working,03332 407592,,,,"Truck Tyres, 24 Hour Service, Mobile Fitting",Mobile Service,,Known Network
Tyrenet,https://tyrenet.net/,Working,0798961579,service@tyrenet.net,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",National Network,,Known Network
Tyres247,https://www.tyres247.uk/,Working,07463 664769,sales@tyres247.uk,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Online,,Known Network
Vacu-Lug Traction Tyres,https://www.vaculug.co.uk/,Working,01476593095,info@vaculug.com,,,"Truck Tyres, 24 Hour Service, Mobile Fitting, Fleet Services",Retreader,,Known Network
247 Mobile Truck Tyres,https://www.247mobiletrucktyres.co.uk/,Blocked (403),0330 043 3988,,,,,Mobile Service,,Known Network
247 TRUCK TYRES LTD,,No website,,,16948484,"599 London Road, Reading, United Kingdom, RG6 1AT",,,2026-01-07,Companies House
A2 TRUCK TYRE LIMITED,,No website,,,11261015,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",,,2018-03-19,Companies House
AM COMMERCIAL TYRE’S LIMITED,,No website,,,SC846604,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",,,2025-04-28,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,No website,,,04183442,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",,,2001-03-20,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,No website,,,16141864,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",,,2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,No website,,,16141882,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",,,2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,No website,,,13046940,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",,,2020-11-27,Companies House
Anglian Truck Tyres,https://www.angliantrucktyres.co.uk/,Timeout,,,,,,Regional,,Known Network
ASHFORD COMMERCIAL TYRES LIMITED,,No website,,,07322542,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",,,2010-07-22,Companies House
Baron Truck Tyres,https://www.barontrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
BARON TRUCK TYRES LIMITED,,No website,,,06833810,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",,,2009-03-02,Companies House
BARTON COMMERCIAL TYRES LIMITED,,No website,,,02039874,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",,,1986-07-23,Companies House
BIRMINGHAM TRUCK TYRE LTD,,No website,,,08481309,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",,,2013-04-09,Companies House
Birmingham Truck Tyres,https://www.birminghamtrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
Bristol Commercial Tyres,https://www.bristolcommercialtyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
C & G MOBILE TRUCK AND TRAILER REPAIRS LTD,,No website,,,11626516,"35 Kenilworth Drive, Padgate, Warrington, England, WA1 3JT",,,2018-10-16,Companies House
CAR VAN TRUCK TYRES LIMITED,,No website,,,08035616,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",,,2012-04-18,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,No website,,,11334504,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",,,2018-04-28,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,,No website,,,15143167,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,2023-09-17,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,No website,,,07754686,"6a Cissplatt Lane,, Keelby,, DN41 8HU",,,2011-08-26,Companies House
COMMERCIAL TYRES LTD,,No website,,,10615294,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",,,2017-02-13,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,No website,,,08555956,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",,,2013-06-04,Companies House
Deldo Tyres,https://www.deldo.co.uk/,Timeout,,,,,,Wholesaler,,Known Network
DRS MOBILE TRUCK TYRES SERVICE LTD,,No website,,,16139729,"62 Walbrook Road, Derby, England, DE23 8RY",,,2024-12-17,Companies House
EAST DENE COMMERCIAL TYRES LTD,,No website,,,13300388,"7 East Crescent, Rotherham, England, S65 2RT",,,2021-03-29,Companies House
Emergency Tyre Services,https://www.emergencytyreservices.co.uk/,Connection Error,,,,,,Mobile Service,,Known Network
Fast Fit Commercial Tyres,https://www.fastfitcommercialtyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
FAST FIT COMMERCIAL TYRES LIMITED,,No website,,,15947304,"6 St. Georges Square, Portsmouth, England, PO1 3EY",,,2024-09-10,Companies House
Fleet Tyre Network,https://www.fleettyrenetwork.com/,Connection Error,,,,,,Fleet Services,,Known Network
FLEET TYRE NETWORK LIMITED,,No website,,,07888473,"Micheldever Station, Winchester, Hampshire, SO21 3AP",,,2011-12-21,Companies House
FLEET TYRES DIRECT LIMITED,,No website,,,09289284,"Unit 55 Brunel Road, Bedford, MK41 9TJ",,,2014-10-31,Companies House
Glasgow Truck Tyres,https://www.glasgowtrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
Goodyear Truck Tyres UK,https://www.goodyear.eu/en_gb/,Not Found (404),,,,,,Manufacturer,,Known Network
HARRY'S TRUCK TYRES LTD,,No website,,,16009864,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",,,2024-10-10,Companies House
HGV Tyres,https://www.hgvtyres.com/,Connection Error,0800 002 9843,,,,,Mobile Service,,Known Network
J.S COMMERCIAL TYRES LIMITED,,No website,,,16100479,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",,,2024-11-25,Companies House
King Retreads,https://www.kingretreads.co.uk/,Connection Error,,,,,,Retreader,,Known Network
Kirkby Tyres,https://www.kirkbytyres.co.uk/,Blocked (403),,,,,,Wholesaler,,Known Network
Leeds Truck Tyres,https://www.leedstrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
Lodge Tyre Company,https://www.lodgetyre.com/,Blocked (403),,,,,,Regional Network,,Known Network
London Truck Tyres,https://www.londontrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
MOBILE TRUCK & COACH REPAIRS LTD,,No website,,,15843978,"1st Floor, The Smithyside, 7 Bell Villas, Ponteland, Newcastle Upon Tyne, United Kingdom, NE20 9BD",,,2024-07-17,Companies House
MOBILE TRUCK & TRAILER LIMITED,,No website,,,05743475,"C/O Stem Accountants Limited, Office 1, The Hive St. James Square, Grimsby, North East Lincolnshire, United Kingdom, DN31 1EP",,,2006-03-15,Companies House
MOBILE TRUCK AND BUS ENGINEERING LTD.,,No website,,,09398056,"Private Road No 5 Private Road 5, Colwick, Nottingham, England, NG4 2JU",,,2015-01-20,Companies House
Morecambe Truck Tyres,https://www.morecambetrucktyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,No website,,,04486928,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",,,2002-07-16,Companies House
Rema Tip Top UK,https://www.rfrema-tiptop.co.uk/,Connection Error,,,,,,Wholesaler,,Known Network
ROADSTAR COMMERCIAL TYRES LTD,,No website,,,16581991,"3 Ferndown, Crawley, England, RH10 3SB",,,2025-07-15,Companies House
SOUTH WEST COMMERCIAL TYRES LTD,,No website,,,16339735,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",,,2025-03-25,Companies House
SYLLA TRUCK TYRES LTD,,No website,,,13847848,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",,,2022-01-13,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,No website,,,01379569,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",,,1978-07-20,Companies House
TA9 TRUCK TYRES LIMITED,,No website,,,16043526,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",,,2024-10-28,Companies House
TRUCK TYRE SOLUTIONS LTD,,No website,,,05733614,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",,,2006-03-07,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,No website,,,11032022,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",,,2017-10-25,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,No website,,,13417279,"12 Old Slade Lane, Iver, England, SL0 9DR",,,2021-05-24,Companies House
TRUCK TYRES (LONDON) LIMITED,,No website,,,05853394,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",,,2006-06-21,Companies House
TRUCK TYRES 2 U LTD,,No website,,,12781618,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",,,2020-07-30,Companies House
TRUCK TYRES 4 U LTD,,No website,,,15543670,"121 Lark Lane, Liverpool, England, L17 8UR",,,2024-03-06,Companies House
TRUCK TYRES DIRECT LIMITED,,No website,,,15105571,"24 Dalkeith Place, Kettering, England, NN16 0BS",,,2023-08-30,Companies House
TRUCK TYRES NATIONAL LTD,,No website,,,16707059,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",,,2025-09-10,Companies House
TRUCK TYRES ONLINE LTD,,No website,,,16049229,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",,,2024-10-29,Companies House
TRUCK TYRES UK LIMITED,,No website,,,SC644925,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",,,2019-10-21,Companies House
TT COMMERCIAL TYRES LTD,,No website,,,16846304,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",,,2025-11-11,Companies House
Wessex Commercial Tyres,https://www.wessexcommercialtyres.co.uk/,Connection Error,,,,,,Regional,,Known Network
WESSEX COMMERCIAL TYRES LIMITED,,No website,,,06686704,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",,,2008-09-02,Companies House
Yokohama Truck UK,https://www.yokohama.co.uk/,Connection Error,,,,,,Manufacturer,,Known Network
