Company Name,Company Number,Status,Business Type,Company Type,Date Created,Registered Address,SIC Codes,Last Accounts,Source
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,01379569,active,Truck Tyre Specialist,ltd,1978-07-20,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, BS23 3UU, England",22110,2024-12-31,Companies House API
247 TRUCK TYRES LTD,16948484,active,Truck Tyre Specialist,ltd,2026-01-07,"599 London Road, Reading, RG6 1AT, United Kingdom",45200,,Companies House API
ACE TYRES COMMERCIAL LTD,10512275,active,Truck Tyre Specialist,ltd,2016-12-06,"304 High Street, Orpington, Kent, BR6 0NF, United Kingdom",45200,2024-12-31,Companies House API
AM COMMERCIAL TYRE’S LIMITED,SC846604,active,Truck Tyre Specialist,ltd,2025-04-28,"5 Cables Wynd House, Edinburgh, EH6 6DF, Scotland",45320,,Companies House API
RMG HGV & TYRES LTD,16703486,active,Truck Tyre Specialist,ltd,2025-09-08,"23 Lowfield Drive, Askern, Doncaster, DN6 0FS, United Kingdom",45200,,Companies House API
ASHFORD COMMERCIAL TYRES LIMITED,07322542,active,Truck Tyre Specialist,ltd,2010-07-22,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",45320,2020-03-31,Companies House API
BARTON COMMERCIAL TYRES LIMITED,02039874,active,Truck Tyre Specialist,ltd,1986-07-23,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",45320,2024-07-31,Companies House API
BLACK COUNTRY COMMERCIAL & TYRES LTD,15504034,active,Truck Tyre Specialist,ltd,2024-02-19,"36 Lichfield Street, Walsall, WS1 1TJ, England","45200, 45320",2025-02-28,Companies House API
CENTRAL TYRE (COMMERCIAL) LIMITED,07760510,active,Truck Tyre Specialist,ltd,2011-09-02,"Etel House, Avenue One, Letchworth Garden City, Hertfordshire, SG6 2HU",45200,2025-03-31,Companies House API
CLASSIC COMMERCIAL AND TYRE LIMITED,15485268,active,Truck Tyre Specialist,ltd,2024-02-12,"26 Harmer Street, Gravesend, DA12 2AX, England",45320,,Companies House API
COMMERCIAL CONTRACT TYRES LIMITED,04232039,active,Truck Tyre Specialist,ltd,2001-06-11,"38 Chelsworth Avenue, Ipswich, Suffolk, IP4 3AY, United Kingdom",45310,2024-07-31,Companies House API
COMMERCIAL TYRES LTD,10615294,active,Truck Tyre Specialist,ltd,2017-02-13,"Vantage Quay, 5, Brewer Street, Manchester, M1 2ER, England","17120, 45320",2020-02-28,Companies House API
COMMERCIAL TYRES OFF HIGHWAY LIMITED,08555956,active,Truck Tyre Specialist,ltd,2013-06-04,"Tructyre House Princesway North, Team Valley, Gateshead, NE11 0NF, England",99999,2024-12-31,Companies House API
COMMERCIAL TYRE SOLUTIONS LTD,15143167,active,Truck Tyre Specialist,ltd,2023-09-17,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ, United Kingdom",45200,2024-09-30,Companies House API
COMMERCIAL TYRE SUPPLIES LTD,07754686,active,Truck Tyre Specialist,ltd,2011-08-26,"6a, Cissplatt Lane,, Keelby,, DN41 8HU",45320,2024-08-31,Companies House API
EAST DENE COMMERCIAL TYRES LTD,13300388,active,Truck Tyre Specialist,ltd,2021-03-29,"7 East Crescent, Rotherham, S65 2RT, England",45200,2025-03-31,Companies House API
FAST FIT COMMERCIAL TYRES LIMITED,15947304,active,Truck Tyre Specialist,ltd,2024-09-10,"6 St. Georges Square, Portsmouth, PO1 3EY, England",45200,2025-09-30,Companies House API
J.S COMMERCIAL TYRES LIMITED,16100479,active,Truck Tyre Specialist,ltd,2024-11-25,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, DN5 0UL, England",45200,,Companies House API
JUST TYRES COMMERCIAL (NW) LTD,12789756,active,Truck Tyre Specialist,ltd,2020-08-04,"Suite 4 48 Westgate, Skelmersdale, WN8 8AZ, England",45310,2025-08-31,Companies House API
P B TYRES COMMERCIAL LIMITED,15322563,active,Truck Tyre Specialist,ltd,2023-12-01,"P B Tyres Bank Street, Golborne, Warrington, Cheshire, WA3 3SN, England",45200,2024-12-31,Companies House API
ROADSTAR COMMERCIAL TYRES LTD,16581991,active,Truck Tyre Specialist,ltd,2025-07-15,"3 Ferndown, Crawley, RH10 3SB, England",45200,,Companies House API
SOUTHERN TYRES (COMMERCIAL) LIMITED,09414873,active,Truck Tyre Specialist,ltd,2015-01-30,"Tructyre House Princesway North, Team Valley, Gateshead, NE11 0NF, England",99999,2024-12-31,Companies House API
SOUTH WEST COMMERCIAL TYRES LTD,16339735,active,Truck Tyre Specialist,ltd,2025-03-25,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, EX2 8EG, United Kingdom",45310,,Companies House API
TT COMMERCIAL TYRES LTD,16846304,active,Truck Tyre Specialist,ltd,2025-11-11,"72 Springfield Avenue, Shirehampton, Bristol, BS11 9TQ, England",45200,,Companies House API
TYRE FIGHTER COMMERCIAL LTD,SC774234,active,Truck Tyre Specialist,ltd,2023-06-29,"5 Mayfield Grove, Dundee, Scotland, DD4 7GZ",,,Companies House API
TYRES (NORTHAMPTON) COMMERCIAL LLP,OC305378,active,Truck Tyre Specialist,llp,2003-08-28,"3 Warren Yard, Warren Park Stratford Road, Milton Keynes, Buckinghamshire, MK12 5NW",,,Companies House API
WESSEX COMMERCIAL TYRES LIMITED,06686704,active,Truck Tyre Specialist,ltd,2008-09-02,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",,,Companies House API
WIRRAL TYRES & COMMERCIAL LIMITED,05980097,active,Truck Tyre Specialist,ltd,2006-10-27,"16 Bassendale Road, Croft Business Park Bromborough, Wirral, CH62 3QL",,,Companies House API
FLEET TYRE NETWORK LIMITED,07888473,active,Truck Tyre Specialist,ltd,2011-12-21,"Micheldever Station, Winchester, Hampshire, SO21 3AP",,,Companies House API
FLEET TYRES DIRECT LIMITED,09289284,active,Truck Tyre Specialist,ltd,2014-10-31,"Unit 55 Brunel Road, Bedford, MK41 9TJ",,,Companies House API
BLAINS TRAILERS & TYRES LTD,03359332,active,Truck Tyre Specialist,ltd,1997-04-24,"St Margarets Farm, Great Gaddesden, Hemel Hempstead, Hertfordshire, HP1 3BZ",,,Companies House API
"DIGBY TRAILERS, TOWBARS & TYRES LTD",12368589,active,Truck Tyre Specialist,ltd,2019-12-18,"Monometer House, Rectory Grove, Leigh On Sea, Essex, England, SS9 2HN",,,Companies House API
TRUCK AND WHEEL UK LTD,13033877,active,Truck Tyre Specialist,ltd,2020-11-20,"9 Shirwell Crescent, Furzton Lake, Milton Keynes, United Kingdom, MK4 1GA",,,Companies House API
TRUCK TYRE FLEET SERVICES LTD,16262244,active,Truck Tyre Fitter,ltd,2025-02-19,"1 Thorncliffe View, Leek, ST13 6QB, England",22110,,Companies House API
TRUCK TYRE WHOLESALERS LIMITED,13417279,active,Truck Tyre Wholesaler,ltd,2021-05-24,"12 Old Slade Lane, Iver, SL0 9DR, England",22110,2024-05-31,Companies House API
DRS MOBILE TRUCK TYRES SERVICE LTD,16139729,active,Mobile Truck Tyre Service,ltd,2024-12-17,"62 Walbrook Road, Derby, DE23 8RY, England",52290,,Companies House API
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,11334504,active,Truck Tyre Fitter,ltd,2018-04-28,"Unit 5 Willment Way, Bristol, BS11 8DJ, England",45200,2025-03-31,Companies House API
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,04486928,active,Truck Tyre Fitter,ltd,2002-07-16,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",45200,2024-07-31,Companies House API
DW TYRE & FLEET SERVICES LTD,15359069,active,Truck Tyre Fitter,ltd,2023-12-18,"42 Birkdale Cop, Southport, United Kingdom, PR8 5DT",,,Companies House API
FLEETLINE TYRE SERVICES LIMITED,06292620,active,Truck Tyre Fitter,ltd,2007-06-26,"Unit 1 Pearsall Drive, Oldbury, West Midlands, England, B69 2RA",,,Companies House API
FLEET MOBILE TYRES LTD,16808697,active,Mobile Truck Tyre Service,ltd,2025-10-24,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",,,Companies House API
TYRE FLEET SERVICES LIMITED,15959838,active,Truck Tyre Fitter,ltd,2024-09-16,"4385, 15959838 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",,,Companies House API
PURFLEET & GRAYS MOBILE TYRES LIMITED,15496753,active,Mobile Truck Tyre Service,ltd,2024-02-17,"5 , 1 Tank Hill Road, Purfleet On Thames, Essex, United Kingdom, RM19 1SX",,,Companies House API
ON THE WHEEL FLEET SERVICES LIMITED,11343733,active,Truck Tyre Fitter,ltd,2018-05-03,"Unit 1 Ocean View Business Park, Portslade, Brighton, United Kingdom, BN41 1PL",,,Companies House API
