name,website,website_verified,phone,email,services,size_category,estimated_employees,revenue_estimate,revenue_low,revenue_high,confidence_score,company_number,address,date_created,source
Manchester Truck Tyres,https://www.manchestertrucktyres.co.uk/,True,0161 205 1362,,"24 Hour Service, Mobile Fitting, Fleet Services",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
London Truck Tyres,https://www.londontrucktyres.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Colway Tyres,https://www.colway.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
King Retreads,https://www.kingretreads.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Treadsetters,https://www.treadsetters.co.uk/,True,01952 684 168,,"24 Hour Service, Mobile Fitting",Small-Medium,5-15,£500K - £2000K,500000,2000000,35,,,,Verified Manual Entry
Truck Tyre Wholesalers,https://www.trucktyrewholesaler.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Aspen Automotive,https://www.aspenautomotive.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
Malvern Tyres Wholesale,https://www.malverntyreswholesale.co.uk/,False,,,,Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
CTS Bristol,https://www.ctsbristolltd.com/,True,0800 156 0059,info@ctsbristolltd.com,"24 Hour Service, Mobile Fitting, Fleet Services, Emergency Callout",Small-Medium,5-20,£500K - £2M,500000,2000000,70,,,,Verified Manual Entry
A2 Tyres,https://www.a2tyres.co.uk/,True,01795 475200,,"24 Hour Service, Mobile Fitting, Emergency Callout",Small-Medium,5-15,£500K - £2000K,500000,2000000,35,,,,Verified Manual Entry
South West Tyre Services,https://www.southwesttyreservices.co.uk/,True,,,"24 Hour Service, Emergency Callout",Small-Medium,5-15,£500K - £2000K,500000,2000000,25,,,,Verified Manual Entry
Essex Tyre Fitters,https://www.essextyrefitters.co.uk/,True,07858 724 854,info@mobiletyresessex.co.uk,"24 Hour Service, Mobile Fitting, Emergency Callout",Small-Medium,5-15,£500K - £2000K,500000,2000000,35,,,,Verified Manual Entry
Mid Beds Tyres,https://www.midbedstyres.co.uk/,True,07860 409600,,"24 Hour Service, Mobile Fitting, Emergency Callout",Small-Medium,5-15,£500K - £2000K,500000,2000000,35,,,,Verified Manual Entry
TRUCK TYRES NATIONAL LTD,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,25,16707059,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",2025-09-10,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,30,04183442,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2001-03-20,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,30,01379569,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",1978-07-20,Companies House
BARTON COMMERCIAL TYRES LIMITED,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,30,02039874,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",1986-07-23,Companies House
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,30,04486928,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",2002-07-16,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,,Small-Medium,5-15,£500K - £2000K,500000,2000000,45,07888473,"Micheldever Station, Winchester, Hampshire, SO21 3AP",2011-12-21,Companies House
Emergency Tyres UK,https://www.emergencytyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Onsite Tyres,https://www.onsitetyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Birmingham Truck Tyres,https://www.birminghamtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Glasgow Truck Tyres,https://www.glasgowtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Leeds Truck Tyres,https://www.leedstrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Bristol Truck Tyres,https://www.bristoltrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Newcastle Truck Tyres,https://www.newcastletrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Sheffield Truck Tyres,https://www.sheffieldtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Liverpool Truck Tyres,https://www.liverpooltrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Edinburgh Truck Tyres,https://www.edinburghtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Cardiff Truck Tyres,https://www.cardifftrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Nottingham Truck Tyres,https://www.nottinghamtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Southampton Truck Tyres,https://www.southamptontrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Encore Tyres,https://www.encoretyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
2U Tyres,https://www.2utyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Ashford Commercial Tyres,https://www.ashfordcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Wessex Commercial Tyres,https://www.wessexcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Kent Commercial Tyres,https://www.kentcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Surrey Commercial Tyres,https://www.surreycommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Sussex Commercial Tyres,https://www.sussexcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Hampshire Commercial Tyres,https://www.hampshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Devon Commercial Tyres,https://www.devoncommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Cornwall Commercial Tyres,https://www.cornwallcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Dorset Commercial Tyres,https://www.dorsetcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Wiltshire Commercial Tyres,https://www.wiltshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Somerset Commercial Tyres,https://www.somersetcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Gloucestershire Commercial Tyres,https://www.gloucestershirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Oxfordshire Commercial Tyres,https://www.oxfordshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Berkshire Commercial Tyres,https://www.berkshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Buckinghamshire Commercial Tyres,https://www.buckinghamshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Hertfordshire Commercial Tyres,https://www.hertfordshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Bedfordshire Commercial Tyres,https://www.bedfordshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Cambridgeshire Commercial Tyres,https://www.cambridgeshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Norfolk Commercial Tyres,https://www.norfolkcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Suffolk Commercial Tyres,https://www.suffolkcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Essex Commercial Tyres,https://www.essexcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Lincolnshire Commercial Tyres,https://www.lincolnshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Leicestershire Commercial Tyres,https://www.leicestershirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Northamptonshire Commercial Tyres,https://www.northamptonshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Warwickshire Commercial Tyres,https://www.warwickshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
West Midlands Commercial Tyres,https://www.westmidlandscommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Staffordshire Commercial Tyres,https://www.staffordshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Derbyshire Commercial Tyres,https://www.derbyshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Nottinghamshire Commercial Tyres,https://www.nottinghamshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
South Yorkshire Commercial Tyres,https://www.southyorkshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
West Yorkshire Commercial Tyres,https://www.westyorkshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
North Yorkshire Commercial Tyres,https://www.northyorkshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
East Yorkshire Commercial Tyres,https://www.eastyorkshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Lancashire Commercial Tyres,https://www.lancashirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Greater Manchester Commercial Tyres,https://www.greatermanchestercommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Merseyside Commercial Tyres,https://www.merseysidecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Cheshire Commercial Tyres,https://www.cheshirecommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Cumbria Commercial Tyres,https://www.cumbriacommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Northumberland Commercial Tyres,https://www.northumberlandcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
County Durham Commercial Tyres,https://www.countydurhamcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Tyne and Wear Commercial Tyres,https://www.tyneandwearcommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Central Scotland Tyres,https://www.centralscotlandtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Highland Truck Tyres,https://www.highlandtrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Aberdeen Truck Tyres,https://www.aberdeentrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Dundee Truck Tyres,https://www.dundeetrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Inverness Truck Tyres,https://www.invernesstrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
South Wales Truck Tyres,https://www.southwalestrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
North Wales Truck Tyres,https://www.northwalestrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Swansea Truck Tyres,https://www.swanseatrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Newport Truck Tyres,https://www.newporttrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Belfast Truck Tyres,https://www.belfasttrucktyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
Northern Ireland Commercial Tyres,https://www.nicommercialtyres.co.uk/,False,,,,Small,1-5,£100K - £500K,100000,500000,0,,,,Verified Manual Entry
TRUCK TYRE FLEET SERVICES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16262244,"1 Thorncliffe View, Leek, England, ST13 6QB",2025-02-19,Companies House
TRUCK TYRES 4 U LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,15543670,"121 Lark Lane, Liverpool, England, L17 8UR",2024-03-06,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,05853394,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",2006-06-21,Companies House
TRUCK TYRES ONLINE LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16049229,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",2024-10-29,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,11032022,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",2017-10-25,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16141864,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16141882,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2024-12-18,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,13046940,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",2020-11-27,Companies House
A2 TRUCK TYRE LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,10,11261015,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",2018-03-19,Companies House
BARON TRUCK TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,06833810,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",2009-03-02,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,08481309,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",2013-04-09,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,,Small,1-5,£100K - £500K,100000,500000,20,08035616,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",2012-04-18,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16139729,"62 Walbrook Road, Derby, England, DE23 8RY",2024-12-17,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,16009864,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",2024-10-10,Companies House
SYLLA TRUCK TYRES LTD,,False,,,,Small,1-5,£100K - £500K,100000,500000,0,13847848,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",2022-01-13,Companies House
