name,verified,verification_method,service_type,is_truck,company_number,company_status,phone,email,website,address,region,source
A&L MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15420517,active,,,,"Crown House, 27 Old Gloucester Street, London, WC1N 3AX",London,Companies House (mobile tyres)
A.D.S. MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,11398996,active,,,,"Homedale House The Street, Homedale House, Kings Lynn, PE33 9JN",,Companies House (mobile tyres)
A.M MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,14280065,active,,,,"323 The Civic Building High Street, Epping, CM16 4BZ",,Companies House (mobile tyres)
A.N.S TYRES EMERGENCY MOBILE SERVICES 24HR LTD,Yes,Companies House API,Mobile Tyre (General),No,16243274,active,,,,"86 Wharf Street, Dukinfield, SK16 4RA",,Companies House (mobile tyres)
A1 MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,SC863621,active,,,,"Admiral House, Montgomery Street, East Kilbride, G74 4BF",Scotland,Companies House (mobile truck tyre)
A1 MOBILE TYRE LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16252768,active,,,,"373 C/O Cater Pearson Limited 373 High Street North,, East Ham, London, E12 6PG",London,Companies House (mobile truck tyre)
A2Z EXPRESS MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,13241354,active,,,,"12 Limpsfield Avenue, Thornton Heath, CR7 6BE",,Companies House (mobile tyres)
A6 MOBILE TYRE FITTERS LTD,Yes,Companies House API,Mobile Tyre (General),No,16788360,active,,,,"200 Drake Street, Rochdale, OL16 1PJ",,Companies House (mobile truck tyre)
AA MOBILE TYRES (BLACKBURN) LTD,Yes,Companies House API,Mobile Tyre (General),No,16139326,active,,,,"Unit 3 67 Canterbury Street, Blackburn, Canterbury Street, Blackburn, BB2 2HT",,Companies House (mobile tyres)
AAA MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15152050,active,,,,"Elite Hand Carwash, Molesworth Street, Rochdale, OL16 2AW",,Companies House (mobile tyres)
ACE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,13827143,active,,,,"21 Mill Parade, Newport, NP20 2JQ",Wales,Companies House (mobile tyres)
ACTIVE MOBILE TYRE LTD,Yes,Companies House API,Mobile Tyre (General),No,13499342,active,,,,"54 Park Chase, Wembley, Middlesex, HA9 8EH",Middlesex,Companies House (mobile truck tyre)
ADE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16313171,active,,,,"24 Anson Green, Newport, Gwent, NP19 9GN",Gwent,Companies House (mobile tyres)
AFFORDABLE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16302488,active,,,,"101 Prebendal Avenue, Aylesbury, HP21 8LB",,Companies House (mobile tyres)
AI MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16762161,active,,,,"111a Burnt Oak Broadway, Edgware, HA8 5EN",,Companies House (mobile tyres)
AJM MOBILE TYRES & VEHICLE REPAIRS LTD,Yes,Companies House API,Mobile Tyre (General),No,15633206,active,,,,"28 Witch Elm, Harwich, CO12 4UB",,Companies House (mobile tyres)
AJR MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16283429,active,,,,"22 Tillycombe Road, Portland, Dorset, DT5 1LG",Dorset,Companies House (mobile tyres)
AKYS TYRES MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,15798179,active,,,,"Quadrant House, Broad Street Mall, Reading, RG1 7QE",South East,Companies House (mobile tyres)
ALT MOBILE TYRE COMPANY LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16496639,active,,,,"14 Great Park Close, Plymouth, PL7 2GP",South West,Companies House (mobile truck tyre)
AMERSHAM MOBILE TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,13831822,active,,,,"28 Lowfield Way, Hazlemere, High Wycombe, HP15 7RR",,Companies House (mobile truck tyre)
AR MOBILES TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16296088,active,,,,"3 Castleford Drive, Prestbury, Macclesfield, SK10 4BG",,Companies House (mobile tyres)
ASAP MOBILE TYRE LTD,Yes,Companies House API,Mobile Tyre (General),No,16329662,active,,,,"126 Wandsworth High Street, London, SW18 4JP",London,Companies House (mobile truck tyre)
ASHTON MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16109536,active,,,,"37 Hill Street, Ashton-Under-Lyne, Lancashire, OL7 0PZ",Lancashire,Companies House (mobile tyres)
AUTOMOTIVE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16890923,active,,,,"50 High Furlong, Banbury, OX16 1PR",,Companies House (mobile tyres)
AYAZ TYRES MOBILE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,15611342,active,,,,"Ayaz Tyres, 426 Whalebone Lane South, Chadwell Heath, Romford, RM6 6HP",Romford,Companies House (mobile tyres)
B MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,12377239,active,,,,"Church Street Industrial Estate, Church Gresley, Swadlincote, Derbys, DE11 9NR",Derbys,Companies House (mobile tyres)
BAY MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16136646,active,,,,"110 Nottage Crescent, Braintree, CM7 2TX",,Companies House (mobile tyres)
BEAUCHAMP MOBILE TYRE SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16354316,active,,,,"Unit 11 Beauchamp Industrial, Watling Street, Tamworth, Staffordshire, B77 5BZ",Staffordshire,Companies House (mobile truck tyre)
BEN'S MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16258046,active,,,,"17 Stambourne Road, Leicester, LE5 0TY",East Midlands,Companies House (mobile tyres)
BERKSHIRE EMERGENCY TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16321949,active,,,,"110 Liverpool Road, Reading, RG1 3PQ",North West,Companies House (emergency tyre)
BEST FIT EXPRESS TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,14020489,active,,,,"58 Shrublands Avenue, Croydon, CR0 8JA",London,Companies House (express tyre mobile)
BILL'S MOBILE TYRES WICKFORD LTD,Yes,Companies House API,Mobile Tyre (General),No,15056324,active,,,,"Unit 35 Andersons Industrial Estate, Lower Park Road, Wickford, Essex, SS12 9EJ",Essex,Companies House (mobile tyres)
BM MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,SC868813,active,,,,"72 Mulben Crescent, Glasgow, G53 7EH",Scotland,Companies House (mobile tyres)
BM RECOVERY & MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,15723449,active,,,,"61 Cooksey Road, Birmingham, B10 0BY",West Midlands,Companies House (mobile hgv tyre)
BMT MOBILE TYRE LTD,Yes,Companies House API,Mobile Tyre (General),No,16519980,active,,,,"Office 13051 182-184 High Street North, East Ham, London, E6 2JA",London,Companies House (mobile hgv tyre)
BOB’S MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15463466,active,,,,"Brunel House 11 The Promenade, Clifton, Bristol, BS8 3NG",South West,Companies House (mobile tyres)
BRISTOL 24/7 MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16243632,active,,,,"Unit 11 Cater Business Park, 23 Cater Road, Bristol, BS13 7TW",South West,Companies House (mobile tyres)
BRISTOL MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,13574763,active,,,,"Meadowview, Ram Hill, Gloucestershire, BS36 2TX",Gloucestershire,Companies House (mobile tyres)
BRIT MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16434156,active,,,,"413 Oxford Road, Reading, RG30 1HA",South East,Companies House (mobile tyres)
BUCKS MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16521887,active,,,,"Flat 12 Fleming Court Grange Road, Chalfont St. Peter, Gerrards Cross, SL9 9FL",,Companies House (mobile tyres)
BUCKS SOS MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15832289,active,,,,"101 Prebendal Avenue, Aylesbury, HP21 8LB",,Companies House (mobile tyres)
BULLET MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16946759,active,,,,"53 Dunraven Avenue, Luton, LU1 1TP",,Companies House (mobile tyres)
BW MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16237954,active,,,,"10 Corporation Road, Newport, NP19 0AR",Wales,Companies House (mobile tyres)
CALL OUT TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15580412,active,,,,"7 Dudley Road, Romford, RM3 8LH",,Companies House (callout tyre)
CANTERBURY MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,13146457,active,,,,"37 Mill Road, Sturry, Canterbury, CT2 0AR",,Companies House (mobile tyres)
CAPITAL MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16361038,active,,,,"Capital, Capital Tures, North Farm Road, Tunbridge Wells, TN2 3DP",,Companies House (mobile tyres)
CENTRAL LONDON MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16453035,active,,,,"191 Homerton High Street, London, E9 6BB",London,Companies House (mobile tyres)
CHESHIRE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,12180374,active,,,,"Unit 7a Swindells Yard, New Mills, High Peak, SK22 4NS",,Companies House (mobile tyres)
CITY MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16479326,active,,,,"1 Sturgess Street, Stoke-On-Trent, ST4 7QH",West Midlands,Companies House (mobile tyres)
CLECKHEATON MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16858218,active,,,,"21 Hyde Park Road, Leeds, West Yorkshire, LS6 1PY",West Yorkshire,Companies House (mobile tyres)
CONNORS MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16913395,active,,,,"Norwich Accountancy, 19 Upper King Street, Norwich, Norfolk, NR3 1RB",Norfolk,Companies House (mobile tyres)
COS MOBILE TYRE FITTING LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16915151,active,,,,"9 Dandridge Court, Grange Farm, Milton Keynes, MK8 0PQ",,Companies House (mobile hgv tyre)
CRAWLEY MOBILE TYRE TEAM LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16281720,active,,,,"32 Raymead Avenue, Thornton Heath, CR7 7SA",,Companies House (mobile hgv tyre)
CREATIONS MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16015165,active,,,,"6th Floor, Amp House, Dingwall Road, Croydon, CR0 2LX",London,Companies House (mobile tyres)
D TYRE MOBILE UK LTD,Yes,Companies House API,Mobile Tyre (General),No,16089423,active,,,,"149 Spon Lane, West Bromwich, B70 6AS",,Companies House (mobile hgv tyre)
DANS MOBILE TYRES 24/7 LTD,Yes,Companies House API,Mobile Tyre (General),No,16178507,active,,,,"8 Southfield Road, Hull, HU5 4ES",Yorkshire,Companies House (mobile tyres)
DANS MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16056371,active,,,,"105 London Road, Benfleet, SS7 5TG",London,Companies House (mobile tyres)
DARREN MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15916101,active,,,,"42 Central Drive, Trevethin, Pontypool, NP4 8EF",Wales,Companies House (mobile tyres)
DC EMERGENCY TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16921225,active,,,,"1 Royd Close, Worsbrough, Barnsley, S70 5JT",,Companies House (emergency tyre)
DEA EMERGENCY TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15362414,active,,,,"15 Norfolk Road, Dudley, DY2 0UG",,Companies House (emergency tyre)
DENNYS MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,SC840926,active,,,,"3 Rosehall Crescent, Uddingston, Glasgow, G71 7FQ",Scotland,Companies House (mobile tyres)
DG MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,12268134,active,,,,"Unit 20 Palmerston Drive, Fareham, Hampshire, PO14 1DJ",Hampshire,Companies House (mobile tyres)
DL MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16305833,active,,,,"Abergarw Service Station Llangeinor Road, Brynmenyn, Bridgend, CF32 9LY",Wales,Companies House (mobile tyres)
DOT MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,10650207,active,,,,"72 The Frithe, Slough, SL2 5SU",,Companies House (mobile tyres)
DOW MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16643241,active,,,,"C/O Archer Associates Churchill House, 120 Bunns Lane, London, London, NW7 2AS",London,Companies House (mobile tyres)
DRIVE BY MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,14947090,active,,,,"109 Woodside Avenue, Benfleet, SS7 4NU",,Companies House (mobile tyres)
DSD MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,09778470,active,,,,"Unit 2 The Old Feed Mills Main Road, Mosterton, Beaminster, Dorset, DT8 3HG",Dorset,Companies House (mobile tyres)
DTS MOBILE TYRES SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,10468871,active,,,,"91 Handsworth New Road, Handsworth, Birmingham, B18 4QQ",West Midlands,Companies House (mobile tyres)
EASY FIX MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,12185463,active,,,,"17 Ainthorpe Grove, Hull, East Yorkshire, HU5 5EA",East Yorkshire,Companies House (mobile tyres)
EASY MOBILE TYREFIT LTD,Yes,Companies House API,Mobile Tyre (General),No,05254280,active,,,,"Hoylake Service Station, 29 Hoylake Road, Moreton, Wirral, CH46 5NA",Wirral,Companies House (mobile hgv tyre)
ELITE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16250629,active,,,,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",London,Companies House (mobile hgv tyre)
EMERGENCY MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16533047,active,,,,"124 City Road, London, London, EC1V 2NX",London,Companies House (mobile commercial tyre)
EMERGENCY TYRE LTD,Yes,Companies House API,Mobile Tyre (General),No,15221576,active,,,,"5 Ribblesdale Place, Preston, PR1 8BZ",North West,Companies House (emergency tyre)
EMERGENCY TYRE REPAIRS LTD,Yes,Companies House API,Mobile Tyre (General),No,14876840,active,,,,"97 Judd Street, London, WC1H 9JG",London,Companies House (emergency tyre)
EMERGENCY TYRE RESCUE LTD,Yes,Companies House API,Mobile Tyre (General),No,16367455,active,,,,"13 Throwley Close, London, SE2 9LB",London,Companies House (emergency tyre)
EMERGENCY TYRES 24/7 LTD,Yes,Companies House API,Mobile Tyre (General),No,15410714,active,,,,"Suite 9 Dalton House, 60 Windsor Avenue, London, SW19 2RR",London,Companies House (emergency tyre)
EPPING STATION MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16646099,active,,,,"161 Forest Road, London, E17 6HE",London,Companies House (mobile commercial tyre)
EVEREST MOBILE TYRE LTD,Yes,Companies House API,Mobile Tyre (General),No,16600510,active,,,,"Flat 9 Windmill Court, High Street, Aldershot, GU12 4ND",,Companies House (mobile commercial tyre)
EVERY ROAD MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16941103,active,,,,"15 Prescott Avenue, Banbury, OX16 0RE",,Companies House (mobile commercial tyre)
EXETER MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16540287,active,,,,"Courtenay House, Pynes Hill, Exeter, Devon, EX2 5AZ",Devon,Companies House (mobile commercial tyre)
EXPRESS MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16611857,active,,,,"3 Eastcourt Avenue, Earley, Reading, RG6 1HH",South East,Companies House (mobile commercial tyre)
EXTRA MILE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,14412838,active,,,,"Regus- Admirals Park Victory Way, Crossways Business Park, Dartford, Kent, DA2 6QD",Kent,Companies House (mobile commercial tyre)
FALCON MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,15541400,active,,,,"190 Billet Road, London, E17 5DX",London,Companies House (mobile commercial tyre)
FAST MOBILE TYRES & RECOVERY LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16919502,active,,,,"Flat 1 24 Priory Road, High Wycombe, HP13 6SL",,Companies House (mobile commercial tyre)
FAST RESPONSE MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15559636,active,,,,"89 Invito House 1-7 Bramley Crescent, Ilford, IG2 6NU",,Companies House (mobile commercial tyre)
FAST TYRE FITTING MOBILE LTD,Yes,Companies House API,Mobile Tyre (General),No,16373264,active,,,,"Official 125,Mill Hill House, 6 The Broadway,Mill Hill, London, NW7 3LL",London,Companies House (mobile tyre fitting)
FASTFIT MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,16736091,active,,,,"45-49 Station Road, Hampton, TW12 2BU",,Companies House (mobile commercial tyre)
FLASH MOBILE TYRE SERVICE LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16096622,active,,,,"33 Tern Crescent, Rochester, ME2 2RG",,Companies House (mobile tyre service)
FT MOBILE TYRE SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15940112,active,,,,"55 Vernon Road 55 Vernon Road, ,, Rotherham, S60 3NL",,Companies House (mobile tyre service)
G1 MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,12555105,active,,,,"Flat 3b The Fairmead Park Street, Colnbrook, Slough, SL3 0HS",,Companies House (mobile tyre service)
H.K MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,15352358,active,,,,"33 Roydstone Terrace, Bradford, BD3 7EW",Yorkshire,Companies House (mobile tyre service)
HERTS BEDS AND BUCKS MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,15997966,active,,,,"21 Stanford Road, Southill, Biggleswade, SG18 9HX",,Companies House (mobile tyre service)
HOLDEN COMMUNICATIONS T/A EXPRESS MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,03359010,active,,,,"1 Bowood Court, Winwick Quay, Warrington, Cheshire, WA2 8QZ",Cheshire,Companies House (express tyre mobile)
J & R MOBILE TYRES SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,11673874,active,,,,"3 Hillside, London, NW9 0NE",London,Companies House (mobile tyre service)
JET MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,15603994,active,,,,"Flat 5 80 The Grove, Edgware, HA8 9QB",,Companies House (mobile tyre fitting)
JF MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,16881538,active,,,,"175a Staplegrove Road, Taunton, TA2 6AF",,Companies House (mobile tyre service)
JHS BREAKDOWN RECOVERY & MOBILE TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15136590,active,,,,"14 Charnborough Road, Coalville, LE67 4SF",,Companies House (breakdown tyre)
JRE MOBILE TYRE SERVICES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,15389639,active,,,,"45 Tack Farm Road, Stourbridge, DY8 5DR",,Companies House (mobile tyre service)
K K MOBILE TYRE SERVICE LIMITED,Yes,Companies House API,Mobile Tyre (General),No,06247600,active,,,,"19 Whist Avenue, Wickford, SS11 8LN",,Companies House (mobile tyre service)
KEITH DOUGAN MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,NI683013,active,,,,"4 Nursery Road, Armagh, Armagh, Armagh, BT60 4AR",Armagh,Companies House (mobile tyre service)
KENT MOBILE TYRES SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,15803134,active,,,,"1 Fareham Walk, Maidstone, ME15 8UW",,Companies House (mobile tyre service)
LEEDS RAPID MOBILE TYRES LIMITED,Yes,Companies House API,Mobile Tyre (General),No,16154598,active,,,,"15 Sandhurst Place, Leeds, LS8 3QW",Yorkshire,Companies House (rapid tyre)
LEO’S EMERGENCY MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,15095419,active,,,,"6 Golden Hillock Road, Dudley, West Midlands, DY2 0AQ",West Midlands,Companies House (emergency tyre)
LIFESAVERS EMERGENCY TYRE SERVICE 24HR LTD,Yes,Companies House API,Mobile Tyre (General),No,11107730,active,,,,"10 Springfield Mount, London, NW9 0SR",London,Companies House (emergency tyre)
LIFESAVERS EMERGENCY TYRES LTD,Yes,Companies House API,Mobile Tyre (General),No,15731828,active,,,,"15c Vancouver Road, Edgware, HA8 5DB",,Companies House (emergency tyre)
LONDON MOBILE TYRE EXPRESS 24/7 LTD,Yes,Companies House API,Mobile Tyre (General),No,16035715,active,,,,"9 Regency House, 5 Vanguard Way, London, E17 6DX",London,Companies House (express tyre mobile)
LONDON'S MOBILE TYRE FITTING LIMITED,Yes,Companies House API,Mobile Tyre (General),No,13756687,active,,,,"6 Unit 8, Free Prae Road, Chertsey, KT16 8EA",,Companies House (mobile tyre fitting)
LUX TYRES MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,14218095,active,,,,"119 Hopwood Lane, Halifax, HX1 4HB",,Companies House (mobile tyre fitting)
M4 TYRES MOBILE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,14879415,active,,,,"M4 Service Link Road (East), Off North Hyde Lane, Hounslow, TW5 0EP",,Companies House (mobile tyre service)
MANCHESTER MOBILE TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,11812997,active,,,,"731 Stockport Road Stockport Road, Manchester, M19 3AR",North West,Companies House (mobile tyre service)
MHA MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16114942,active,,,,"16 Robbinswood, Bushmead, Luton, England, LU2 7YU",England,Companies House (mobile tyre fitting)
MICHAEL'S MOBILE TYRE SERVICES LTD,Yes,Companies House API,Mobile Tyre (General),No,12649320,active,,,,"58 Fairfield Road, London, London, N18 2QJ",London,Companies House (mobile tyre service)
MIDLANDS MOBILE TYRE SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,15646278,active,,,,"45a Formans Road, Sparkhill, Birmingham, B11 3AR",West Midlands,Companies House (mobile tyre service)
MILTON KEYNES MOBILE TYRE FITTING LTD,Yes,Companies House API,Mobile Tyre (General),No,16689032,active,,,,"75 Foxholes Close, Deanshanger, Milton Keynes, MK19 6HA",,Companies House (mobile tyre fitting)
MOBILE EMERGENCY TYRE & RECOVERY SERVICE LTD,Yes,Companies House API,Mobile Tyre (General),No,16187472,active,,,,"60 Lyndhurst Road, Tilehurst, Reading, RG30 6UA",South East,Companies House (emergency tyre)
MOBILE MECHANIC & TYRES SERVICE OXFORD LTD,Yes,Companies House API,Mobile Tyre (General),No,16677340,active,,,,"1 Windmill Road, Headington, Oxford, OX3 7BL",South East,Companies House (mobile tyre service)
