name,website,website_verified,is_tyre_related,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,date_created,source
BARON TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",06833810,2009-03-02,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",08481309,2013-04-09,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",08035616,2012-04-18,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"62 Walbrook Road, Derby, England, DE23 8RY",16139729,2024-12-17,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",16009864,2024-10-10,Companies House
SYLLA TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",13847848,2022-01-13,Companies House
TA9 TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",16043526,2024-10-28,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",01379569,1978-07-20,Companies House
247 TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"599 London Road, Reading, United Kingdom, RG6 1AT",16948484,2026-01-07,Companies House
RMG HGV & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Lowfield Drive, Askern, Doncaster, United Kingdom, DN6 0FS",16703486,2025-09-08,Companies House
COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",10615294,2017-02-13,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",11334504,2018-04-28,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",08555956,2013-06-04,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15143167,2023-09-17,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6a Cissplatt Lane,, Keelby,, DN41 8HU",07754686,2011-08-26,Companies House
ACE TYRES COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"304 High Street, Orpington, Kent, United Kingdom, BR6 0NF",10512275,2016-12-06,Companies House
AM COMMERCIAL TYRE’S LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",SC846604,2025-04-28,Companies House
ASHFORD COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",07322542,2010-07-22,Companies House
BARTON COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",02039874,1986-07-23,Companies House
BLACK COUNTRY COMMERCIAL & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"36 Lichfield Street, Walsall, England, WS1 1TJ",15504034,2024-02-19,Companies House
CENTRAL TYRE (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Etel House, Avenue One, Letchworth Garden City, Hertfordshire, SG6 2HU",07760510,2011-09-02,Companies House
CLASSIC COMMERCIAL AND TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"26 Harmer Street, Gravesend, England, DA12 2AX",15485268,2024-02-12,Companies House
COMMERCIAL CONTRACT TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"38 Chelsworth Avenue, Ipswich, Suffolk, United Kingdom, IP4 3AY",04232039,2001-06-11,Companies House
EAST DENE COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"7 East Crescent, Rotherham, England, S65 2RT",13300388,2021-03-29,Companies House
FAST FIT COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6 St. Georges Square, Portsmouth, England, PO1 3EY",15947304,2024-09-10,Companies House
J.S COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",16100479,2024-11-25,Companies House
JUST TYRES COMMERCIAL (NW) LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Suite 4 48 Westgate, Skelmersdale, England, WN8 8AZ",12789756,2020-08-04,Companies House
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",04486928,2002-07-16,Companies House
P B TYRES COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"P B Tyres Bank Street, Golborne, Warrington, Cheshire, England, WA3 3SN",15322563,2023-12-01,Companies House
ROADSTAR COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Ferndown, Crawley, England, RH10 3SB",16581991,2025-07-15,Companies House
SOUTHERN TYRES (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",09414873,2015-01-30,Companies House
SOUTH WEST COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",16339735,2025-03-25,Companies House
TT COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",16846304,2025-11-11,Companies House
TYRE FIGHTER COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Mayfield Grove, Dundee, Scotland, DD4 7GZ",SC774234,2023-06-29,Companies House
TYRES (NORTHAMPTON) COMMERCIAL LLP,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Warren Yard, Warren Park Stratford Road, Milton Keynes, Buckinghamshire, MK12 5NW",OC305378,2003-08-28,Companies House
WESSEX COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",06686704,2008-09-02,Companies House
WIRRAL TYRES & COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"16 Bassendale Road, Croft Business Park Bromborough, Wirral, CH62 3QL",05980097,2006-10-27,Companies House
AAA MOBILE TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Elite Hand Carwash, Molesworth Street, Rochdale, United Kingdom, OL16 2AW",15152050,2023-09-20,Companies House
AA MOBILE TYRES (BLACKBURN) LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 3 67 Canterbury Street, Blackburn, Canterbury Street, Blackburn, England, BB2 2HT",16139326,2024-12-16,Companies House
A&L MOBILE TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Crown House, 27 Old Gloucester Street, London, United Kingdom, WC1N 3AX",15420517,2024-01-17,Companies House
ACE MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"21 Mill Parade, Newport, Wales, NP20 2JQ",13827143,2022-01-04,Companies House
ACTIVE MOBILE TYRE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"54 Park Chase, Wembley, Middlesex, United Kingdom, HA9 8EH",13499342,2021-07-07,Companies House
ADE MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"24 Anson Green, Newport, Gwent, Wales, NP19 9GN",16313171,2025-03-13,Companies House
A.D.S. MOBILE TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Homedale House The Street, Homedale House, Kings Lynn, United Kingdom, PE33 9JN",11398996,2018-06-05,Companies House
ADVANCE MOBILE TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Acer House, 54a Hartford Road, Davenham Northwich, Cheshire, CW9 8JF",04698588,2003-03-14,Companies House
AFFORDABLE MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"101 Prebendal Avenue, Aylesbury, England, HP21 8LB",16302488,2025-03-09,Companies House
AI MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"111a Burnt Oak Broadway, Edgware, England, HA8 5EN",16762161,2025-10-03,Companies House
AIRVAN MOBILE 24/7 TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"7 Preston Road, Slough, England, SL2 5LP",16329733,2025-03-20,Companies House
AJM MOBILE TYRES & VEHICLE REPAIRS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"28 Witch Elm, Harwich, England, CO12 4UB",15633206,2024-04-10,Companies House
A J MOBILE TYRES 24/7 LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"124a Eversley Avenue, Bexleyheath, England, DA7 6RG",15463546,2024-02-03,Companies House
AJR MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"22 Tillycombe Road, Portland, Dorset, United Kingdom, DT5 1LG",16283429,2025-02-28,Companies House
AKYS TYRES MOBILE TYRE FITTING LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Quadrant House, Broad Street Mall, Reading, England, RG1 7QE",15798179,2024-06-23,Companies House
ALT MOBILE TYRE COMPANY LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"14 Great Park Close, Plymouth, England, PL7 2GP",16496639,2025-06-04,Companies House
AMERSHAM MOBILE TYRE SERVICE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"28 Lowfield Way, Hazlemere, High Wycombe, England, HP15 7RR",13831822,2022-01-06,Companies House
A.M MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"323 The Civic Building High Street, Epping, England, CM16 4BZ",14280065,2022-08-05,Companies House
A.N.S TYRES EMERGENCY MOBILE SERVICES 24HR LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"86 Wharf Street, Dukinfield, United Kingdom, SK16 4RA",16243274,2025-02-11,Companies House
A1 MOBILE TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"373 C/O Cater Pearson Limited 373 High Street North,, East Ham, London, United Kingdom, E12 6PG",16252768,2025-02-14,Companies House
A1 MOBILE TYRE FITTING LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Admiral House, Montgomery Street, East Kilbride, Scotland, G74 4BF",SC863621,2025-09-22,Companies House
AR MOBILES TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Castleford Drive, Prestbury, Macclesfield, England, SK10 4BG",16296088,2025-03-05,Companies House
ASAP MOBILE TYRE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"126 Wandsworth High Street, London, United Kingdom, SW18 4JP",16329662,2025-03-20,Companies House
ASHTON MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37 Hill Street, Ashton-Under-Lyne, Lancashire, United Kingdom, OL7 0PZ",16109536,2024-11-29,Companies House
A6 MOBILE TYRE FITTERS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"200 Drake Street, Rochdale, England, OL16 1PJ",16788360,2025-10-16,Companies House
A TO ZEE MOBILE TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Flat 13 Russell House, Cambridge Street, London, England, SW1V 4EQ",16088736,2024-11-19,Companies House
A2Z EXPRESS MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"12 Limpsfield Avenue, Thornton Heath, England, CR7 6BE",13241354,2021-03-03,Companies House
AUTOMOTIVE MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"50 High Furlong, Banbury, United Kingdom, OX16 1PR",16890923,2025-12-04,Companies House
AYAZ TYRES MOBILE SERVICE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Ayaz Tyres, 426 Whalebone Lane South, Chadwell Heath, Romford, United Kingdom, RM6 6HP",15611342,2024-04-03,Companies House
BAY MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"110 Nottage Crescent, Braintree, United Kingdom, CM7 2TX",16136646,2024-12-16,Companies House
BEAUCHAMP MOBILE TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 11 Beauchamp Industrial, Watling Street, Tamworth, Staffordshire, England, B77 5BZ",16354316,2025-03-31,Companies House
BEN'S MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"17 Stambourne Road, Leicester, England, LE5 0TY",16258046,2025-02-17,Companies House
BILL'S MOBILE TYRES WICKFORD LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 35 Andersons Industrial Estate, Lower Park Road, Wickford, Essex, United Kingdom, SS12 9EJ",15056324,2023-08-08,Companies House
BM MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"72 Mulben Crescent, Glasgow, Scotland, G53 7EH",SC868813,2025-11-04,Companies House
FLEET TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 55 Brunel Road, Bedford, MK41 9TJ",09289284,2014-10-31,Companies House
DW TYRE & FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"42 Birkdale Cop, Southport, United Kingdom, PR8 5DT",15359069,2023-12-18,Companies House
FLEETLINE TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 1 Pearsall Drive, Oldbury, West Midlands, England, B69 2RA",06292620,2007-06-26,Companies House
FLEET MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",16808697,2025-10-24,Companies House
TYRE FLEET SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"4385, 15959838 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",15959838,2024-09-16,Companies House
BLAINS TRAILERS & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"St Margarets Farm, Great Gaddesden, Hemel Hempstead, Hertfordshire, HP1 3BZ",03359332,1997-04-24,Companies House
"DIGBY TRAILERS, TOWBARS & TYRES LTD",,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Monometer House, Rectory Grove, Leigh On Sea, Essex, England, SS9 2HN",12368589,2019-12-18,Companies House
